STORE_NAME,longitude,latitude,ADDRESS,ADDRESS2,CITY,STATE,ZIP5,zip4,County,
"WALGREEN 02540",-81.653038,36.195595,"2184 Blowing Rock Rd","","Boone","NC","28607","6154","WATAUGA" 
"WALGREEN 07400",-80.881973,35.44408,"16711 Birkdale Cmns Pkwy","","Huntersville","NC","28078","4412","MECKLENBURG" 
"WALGREEN 07767",-80.665894,35.412579,"5230 Poplar Tent Rd","","Concord","NC","28027","7757","CABARRUS" 
"WALGREEN 07859",-81.167664,35.216549,"2975 Union Rd","","Gastonia","NC","28054","6023","GASTON" 
"WALGREEN 07397",-80.272728,36.090359,"2125 Cloverdale Ave","","Winston Salem","NC","27103","2506","FORSYTH" 
"WALGREEN 09090",-79.400513,36.064373,"317 S Main St","","Graham","NC","27253","3319","ALAMANCE" 
"WALGREEN 09236",-79.82843,36.117786,"3703 Lawndale Dr","","Greensboro","NC","27455","3001","GUILFORD" 
"COMPARE FOODS",-78.387527,36.321617,"1141 E Andrews Ave","","Henderson","NC","27536","5113","VANCE" 
"DOLLAR GENERAL 6512",-80.887703,35.701244,"144 S Main St","","Troutman","NC","28166","9636","IREDELL" 
"DOLLAR GENERAL 6931",-82.741417,35.223824,"290 Rosman Hwy","","Brevard","NC","28712","4128","TRANSYLVANIA" 
"AMR Freshmart",-77.912445,35.737118,"515 Atlantic Christian Col Dr N","","Wilson","NC","27893","2503","WILSON" 
"DOLLAR GENERAL 1926",-81.57251,35.744205,"707 Main St W","","Valdese","NC","28690","2607","BURKE" 
"DOLLAR GENERAL 3060",-82.015129,35.688591,"500 N Main St","Ste 5","Marion","NC","28752","5809","MCDOWELL" 
"DOLLAR GENERAL 3181",-81.35006,35.721226,"536 US Highway 70 SW","","Hickory","NC","28602","3256","CATAWBA" 
"DOLLAR GENERAL 3865",-78.35437,35.515331,"429 W Market St","","Smithfield","NC","27577","3322","JOHNSTON" 
"WHOLE FOODS MARKET 10008",-79.028351,35.934158,"81 S Elliott Rd","","Chapel Hill","NC","27514","5827","ORANGE" 
"DOLLAR GENERAL 4332",-77.158936,35.309582,"240 NC Highway 43","","Vanceboro","NC","28586","8906","CRAVEN" 
"DOLLAR GENERAL 4411",-78.061432,35.213348,"1130 N Breazeale Ave Apt K","","Mount Olive","NC","28365","1116","WAYNE" 
"Dollar General 7704",-79.805046,36.009583,"3113 Randleman Rd","","Greensboro","NC","27406","6526","GUILFORD" 
"DOLLAR GENERAL 7874",-77.768715,36.02346,"3751 N Wesleyan Blvd","","Rocky Mount","NC","27804","8624","NASH" 
"SUN-DO ETOWN RD",-78.967285,34.637432,"6697 ELIZABETHTOWN RD","","LUMBERTON","NC","28358","","ROBESON" 
"DOLLAR GENERAL 3458",-79.740166,36.492512,"640 S Van Buren Rd","Unit P","Eden","NC","27288","5365","ROCKINGHAM" 
"DOLLAR GENERAL 6866",-77.547966,34.895164,"8203 Richlands Hwy","","Richlands","NC","28574","7403","ONSLOW" 
"DOLLAR GENERAL 7419",-81.189926,35.316936,"3121 Dallas High Shoals Hwy","","Dallas","NC","28034","1307","GASTON" 
"DOLLAR GENERAL 7423",-79.350777,36.119255,"1379 Manley Dr","","Burlington","NC","27217","","ALAMANCE" 
